cod_articulo,precio,descripcion,descripcion_adic,escala_1,escala_2,cod_unidad_medida,cod_barra,usa_escala,cta_compras,lleva_partida,lleva_serie,alicuota_iva,cta_ventas,cod_proveedor,sinonimo,alicuota_iva_co,porc_comision_ventas,porc_utilidad,stk_maximo,stk_minimo,punto_pedido,equivalencia,unidad_medida_compra
100017,"0.00","ESM.ALLEGRO NEON IN SHOCK 3 VIBRANT YELL","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100025,"0.00","ESMALTE GEL SK LL 8 NEGRO","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100045,"0.00","DEO COLONIA MASC. HOMME SPORT 120 ML","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100047,"0.00","LISS EXPERT TRAT.POST ALISADO QUIM 120G","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100049,"0.00","SPLASH HUMECT. B.LOVE MIDNIGHT AFFA 130","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100050,"0.00","MILK CREMA PARA ROSTRO 80G","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100051,"0.00","MILK CREMA PARA MANOS 110G","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100062,"0.00","THERMO EXPERT PROTEC.TERMICO INT. 130CC","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100072,"0.00","ALLEGRO R&U ESMALTE P/UÑAS 02 GREEN FANT","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100075,"0.00","ALLEGRO R&U ESMALTE P/UÑAS 05 SPARK REFL","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100076,"0.00","ALLEGRO F.COLORS COLORACION 1 PINK MAGIC","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100077,"0.00","ALLEGRO F.COLORS COLORACION 2 ACQUA POWD","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100088,"0.00","DESOD.ANTIT.ROLLON 55ML HOMME SPORT","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100102,"0.00","LAP. LABIAL INF. PRINCESA 1 ROSA ENCANTO","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100103,"0.00","LAP. LABIAL INF. PRINCESA 2 ROSA SUEÑO","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100119,"0.00","LECHE DE LIMPIEZA 5 EN 1 X 215 ML","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100120,"0.00","CASUAL BRILLO LABIAL 1 PURA ACTITUD","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100125,"0.00","MASC. WATERPR. NEGRO SK SHOCKING LASH","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100127,"0.00","LIP CARE TRATAMIENTO ANTIEDAD LABIOS 4G","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100128,"0.00","LIP CARE EFEC.ROSA PERLADO PROT.P/LAB 4G","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100129,"0.00","LIP CARE MANTECA CACAO PROT. P/LABIOS 4G","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100130,"0.00","S.K. BASE DE MAQUILLAJE N01 CLARO 30G","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100131,"0.00","S.K. BASE DE MAQUILLAJE N02 MEDIO 30G","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100133,"0.00","SK MAQUILLAJE CORRECTOR N01 BEIGE CLARO","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100161,"0.00","AGUA DE COLONIA MASC. IL BRAVE 155ML","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100165,"0.00","LAPIZ LAB.CREM. CASUAL 67 CORAL MISTERIO","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100167,"0.00","LAPIZ LAB.SATIN CASUAL 301 ROSA TIMIDO","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100168,"0.00","ESMALTE CREM. CASUAL 67 CORAL MISTERIOSO","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100170,"0.00","ESMALTE CREM. CASUAL 69 BRISA MARINA","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100171,"0.00","ESMALTE SATIN. CASUAL 301 ROSA TIMIDO","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100190,"0.00","CREMA P/MANOS PERFUM. VIOLETTA PENNY 30G","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100193,"0.00","CREMA DE ENEBRO BIENESTAR X 85G","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100197,"0.00","UNICO SET MASC.EAU TOILETTE+PULS ANTIQUE","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100212,"0.00","LAPLAB PERLADO SK N218 ROSA PRIMAV. ANIV","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100215,"0.00","EAU DE TOILETTE FEM BESO PROHIBIDO 75CC","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100217,"4999.00","PROTECT TRATAMIENTO 8 EN 1 10ML","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100225,"0.00","LABIAL LIQUIDO 12H SKLL 2 ENCENDE PASION","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100227,"0.00","LABIAL LIQUIDO 12H SKLL 4 TIMIDEZ ATRACT","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100228,"0.00","LABIAL LIQUIDO 12H SKLL 5 ANGEL/DEMONIO","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100230,"0.00","STYLING EXPERT MODELADOR Y PROLONG. 130C","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100237,"0.00","VIOLE. TOYS SHAMPOO P/BEBES Y NIÑOS 150G","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100238,"0.00","VIOLET TOYS CREMA ENJ. BEBESY NIÑOS 150G","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100239,"0.00","VIOLET TOYS BAÑO LIQ. BEBES Y NIÑOS 150G","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100240,"0.00","VIOLETTA TOYS COCO COL. BEBES Y NIÑOS100","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100242,"0.00","PERFECTION LABIAL TRAT. 2 NATURAL PINK","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100249,"0.00","PROTECT CALCIO Y COLOR 22 ROJO INTENSO","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
