orden,n_comp,fecha_emision,cod_cliente,figura,importe,bonif_sin_imp,imp_gravado,imp_exento,imp_iva,montib,gastadmi,boniflibro,bonifcosme,bonifpract,porclider,boniflider,bonifivadic,zona
1,"B0000304653341","2025-06-17",2717379,2,54741.83,20215.95,45241.19,0.00,9500.65,0.00000000000,"1573.77",0.00,"18416.70","1799.25","","0.00","0.00",085
2,"B0000304653342","2025-06-17",2777592,2,34227.21,6248.80,28286.95,0.00,5940.26,0.00000000000,"984.00",0.00,"4599.20","1649.60","","0.00","0.00",085
3,"B0000304653343","2025-06-17",3234533,2,66760.51,9148.80,55173.98,0.00,11586.53,0.00000000000,"1919.30",0.00,"3499.60","5649.20","","0.00","0.00",085
4,"B0000304653344","2025-06-17",4643526,2,41341.94,14937.60,34166.89,0.00,7175.05,0.00000000000,"1188.54",0.00,"13347.90","1589.70","","0.00","0.00",085
5,"B0000304653345","2025-06-17",4699106,2,117885.65,47784.45,97426.16,0.00,20459.49,0.00000000000,"3389.10",0.00,"46884.60","899.85","","0.00","0.00",085
6,"B0000304653346","2025-06-17",5424097,2,48453.86,16527.15,40044.51,0.00,8409.35,0.00000000000,"1393.00",0.00,"13977.90","2549.25","","0.00","0.00",085
7,"B0000304653347","2025-06-17",5649560,2,22111.60,4619.10,18274.05,0.00,3837.55,0.00000000000,"635.69",0.00,"4019.20","599.90","","0.00","0.00",085
8,"B0000304653348","2025-06-17",5820987,2,63439.59,25871.25,52429.41,0.00,11010.18,0.00000000000,"1823.83",0.00,"25496.40","374.85","","0.00","0.00",085
9,"B0000304653349","2025-06-17",6264433,2,27670.72,6718.80,22868.36,0.00,4802.36,0.00000000000,"795.51",0.00,"6718.80","0.00","","0.00","0.00",085
10,"B0000304653350","2025-06-17",6341691,10,262286.39,78896.10,196167.97,0.00,66118.42,5885.04000000000,"7540.48",0.00,"59699.40","19196.70","","0.00","24923.14",085
11,"B0000304653351","2025-06-17",6376142,2,47002.33,14530.95,38844.90,0.00,8157.43,0.00000000000,"1351.27",0.00,"11007.30","3523.65","","0.00","0.00",085
12,"B0000304653352","2025-06-17",6804390,2,95315.79,23394.45,78773.38,0.00,16542.41,0.00000000000,"2740.24",0.00,"11997.90","11396.55","","0.00","0.00",085
13,"B0000304653353","2025-06-17",7003862,2,146315.17,60368.25,120921.63,0.00,25393.54,0.00000000000,"4206.42",0.00,"59993.40","374.85","","0.00","0.00",085
