orden,n_comp,renglon,cod_art,cantidad,importe_neto,precio_neto,porc_iva,adicional,precio_lista,total_renglon,cuales,revend
1,"B0000304653659",1,"1/101063-7",1,2140.74432000000,2147.9338,21.00,"",2599.00,2599.00,"X",315957
1,"B0000304653659",2,"2/100786-5",1,6588.61632000000,6610.7438,21.00,"",7999.00,7999.00,"X",315957
1,"B0000304653659",3,"1/101066-3",1,2140.74432000000,2147.9338,21.00,"",2599.00,2599.00,"X",315957
1,"B0000304653659",4,"1/101540-5",1,4117.57632000000,4131.4049,21.00,"",4999.00,4999.00,"X",315957
1,"B0000304653659",5,"1/33000-6",1,9883.33632000000,9916.5289,21.00,"",11999.00,11999.00,"X",315957
1,"B0000304653659",6,"5/101405-0",3,5557.06008000000,1652.0661,21.00,"",1999.00,5997.00,"X",315957
1,"B0000304653659",7,"5/101405-0",1,2778.99336000000,2478.5123,21.00,"",2999.00,2999.00,"X",315957
1,"B0000304653659",8,"5/101405-0",1,2408.33736000000,2147.9338,21.00,"",2599.00,2599.00,"X",315957
2,"B0000304653660",1,"1/100629-5",1,6485.75928000000,7437.1900,21.00,"",8999.00,8999.00,"X",331472
2,"B0000304653660",2,"1/101540-5",2,7205.75856000000,4131.4049,21.00,"",4999.00,9998.00,"X",331472
2,"B0000304653660",3,"1/100193-9",1,8647.91928000000,9916.5289,21.00,"",11999.00,11999.00,"X",331472
2,"B0000304653660",4,"1/101069-0",1,1873.15128000000,2147.9338,21.00,"",2599.00,2599.00,"X",331472
2,"B0000304653660",5,"1/101632-4",2,8647.19856000000,4957.8512,21.00,"",5999.00,11998.00,"X",331472
2,"B0000304653660",6,"2/101431-4",1,1332.61128000000,1528.0991,21.00,"",1849.00,1849.00,"X",331472
2,"B0000304653660",7,"4/101405-0",1,0.01029600000,0.0082,21.00,"",0.01,0.01,"X",331472
2,"B0000304653660",8,"5/101405-0",2,3498.88968000000,1652.0661,21.00,"",1999.00,3998.00,"X",331472
2,"B0000304653660",9,"1/100885-2",1,11530.79928000000,13222.3140,21.00,"",15999.00,15999.00,"X",331472
2,"B0000304653660",10,"2/101432-7",1,1332.61128000000,1528.0991,21.00,"",1849.00,1849.00,"X",331472
3,"B0000304653661",1,"1/101071-7",1,1873.15128000000,2147.9338,21.00,"",2599.00,2599.00,"X",376572
3,"B0000304653661",2,"1/100746-6",1,9368.63928000000,10742.9752,21.00,"",12999.00,12999.00,"X",376572
3,"B0000304653661",3,"1/100775-7",1,3602.87928000000,4131.4049,21.00,"",4999.00,4999.00,"X",376572
3,"B0000304653661",4,"1/101674-6",1,2882.15928000000,3304.9586,21.00,"",3999.00,3999.00,"X",376572
3,"B0000304653661",5,"5/101405-0",1,2187.02484000000,2065.2892,21.00,"",2499.00,2499.00,"X",376572
3,"B0000304653661",6,"3/101405-0",4,10498.41936000000,2478.5123,21.00,"",2999.00,11996.00,"X",376572
3,"B0000304653661",7,"5/101405-0",1,4812.50484000000,4544.6280,21.00,"",5499.00,5499.00,"X",376572
3,"B0000304653661",8,"5/101405-0",1,17502.32484000000,16528.0991,21.00,"",19999.00,19999.00,"X",376572
3,"B0000304653661",9,"4/900460-1",1,0.01029600000,0.0082,21.00,"",0.01,0.01,"X",376572
4,"B0000304653662",1,"5/101405-0",5,11578.36680000000,2065.2892,21.00,"",2499.00,12495.00,"X",399849
4,"B0000304653662",2,"5/101405-0",1,4632.27336000000,4131.4049,21.00,"",4999.00,4999.00,"X",399849
4,"B0000304653662",3,"5/101405-0",1,6114.89736000000,5453.7190,21.00,"",6599.00,6599.00,"X",399849
4,"B0000304653662",4,"5/101405-0",1,2408.33736000000,2147.9338,21.00,"",2599.00,2599.00,"X",399849
4,"B0000304653662",5,"5/101405-0",2,7411.26672000000,3304.9586,21.00,"",3999.00,7998.00,"X",399849
5,"B0000304653663",1,"4/101405-0",1,0.01029600000,0.0082,21.00,"",0.01,0.01,"X",454943
5,"B0000304653663",2,"3/101405-0",2,5557.98672000000,2478.5123,21.00,"",2999.00,5998.00,"X",454943
5,"B0000304653663",3,"5/101405-0",1,1852.35336000000,1652.0661,21.00,"",1999.00,1999.00,"X",454943
5,"B0000304653663",4,"5/101405-0",1,2408.33736000000,2147.9338,21.00,"",2599.00,2599.00,"X",454943
5,"B0000304653663",5,"5/101405-0",1,4632.27336000000,4131.4049,21.00,"",4999.00,4999.00,"X",454943
5,"B0000304653663",6,"5/101405-0",1,2315.67336000000,2065.2892,21.00,"",2499.00,2499.00,"X",454943
5,"B0000304653663",7,"5/101405-0",1,4261.61736000000,3800.8264,21.00,"",4599.00,4599.00,"X",454943
5,"B0000304653663",8,"5/101405-0",3,19456.66008000000,5784.2975,21.00,"",6999.00,20997.00,"X",454943
6,"B0000304653664",1,"5/406530-5",1,6650.34084000000,6280.1652,21.00,"",7599.00,7599.00,"X",455273
6,"B0000304653664",2,"1/42217-6",1,3602.87928000000,4131.4049,21.00,"",4999.00,4999.00,"X",455273
6,"B0000304653664",3,"1/101062-5",1,1873.15128000000,2147.9338,21.00,"",2599.00,2599.00,"X",455273
6,"B0000304653664",4,"1/101064-9",1,1873.15128000000,2147.9338,21.00,"",2599.00,2599.00,"X",455273
6,"B0000304653664",5,"1/100905-4",1,3602.87928000000,4131.4049,21.00,"",4999.00,4999.00,"X",455273
6,"B0000304653664",6,"1/100424-7",1,6125.39928000000,7023.9669,21.00,"",8499.00,8499.00,"X",455273
6,"B0000304653664",7,"1/100256-7",2,23061.59856000000,13222.3140,21.00,"",15999.00,31998.00,"X",455273
6,"B0000304653664",8,"1/100754-6",2,11530.07856000000,6610.7438,21.00,"",7999.00,15998.00,"X",455273
6,"B0000304653664",9,"1/101646-7",2,11530.07856000000,6610.7438,21.00,"",7999.00,15998.00,"X",455273
6,"B0000304653664",10,"1/101632-4",1,4323.59928000000,4957.8512,21.00,"",5999.00,5999.00,"X",455273
6,"B0000304653664",11,"1/100930-6",1,6485.75928000000,7437.1900,21.00,"",8999.00,8999.00,"X",455273
6,"B0000304653664",12,"1/100769-3",1,7206.47928000000,8263.6363,21.00,"",9999.00,9999.00,"X",455273
6,"B0000304653664",13,"1/101585-4",1,3602.87928000000,4131.4049,21.00,"",4999.00,4999.00,"X",455273
6,"B0000304653664",14,"1/101673-4",1,2882.15928000000,3304.9586,21.00,"",3999.00,3999.00,"X",455273
6,"B0000304653664",15,"1/101575-0",1,4324.31279280000,4958.6694,21.00,"",5999.99,5999.99,"X",455273
6,"B0000304653664",16,"5/406530-5",1,5250.08484000000,4957.8512,21.00,"",5999.00,5999.00,"X",455273
6,"B0000304653664",17,"5/900784-6",1,17502.32484000000,16528.0991,21.00,"",19999.00,19999.00,"X",455273
6,"B0000304653664",18,"1/100926-5",1,6125.39928000000,7023.9669,21.00,"",8499.00,8499.00,"X",455273
6,"B0000304653664",19,"5/404415-7",1,2187.02484000000,2065.2892,21.00,"",2499.00,2499.00,"X",455273
6,"B0000304653664",20,"3/400248-0",2,5249.20968000000,2478.5123,21.00,"",2999.00,5998.00,"X",455273
6,"B0000304653664",21,"5/901124-5",2,5249.20968000000,2478.5123,21.00,"",2999.00,5998.00,"X",455273
6,"B0000304653664",22,"5/46458-4",2,6999.52968000000,3304.9586,21.00,"",3999.00,7998.00,"X",455273
6,"B0000304653664",23,"5/406530-5",1,2187.02484000000,2065.2892,21.00,"",2499.00,2499.00,"X",455273
6,"B0000304653664",24,"5/404416-1",1,1749.44484000000,1652.0661,21.00,"",1999.00,1999.00,"X",455273
6,"B0000304653664",25,"5/406529-0",3,23626.69452000000,7437.1900,21.00,"",8999.00,26997.00,"X",455273
6,"B0000304653664",26,"5/404415-7",1,1749.44484000000,1652.0661,21.00,"",1999.00,1999.00,"X",455273
6,"B0000304653664",27,"5/406530-5",1,7875.56484000000,7437.1900,21.00,"",8999.00,8999.00,"X",455273
6,"B0000304653664",28,"5/204999-8",1,22753.28484000000,21486.7768,21.00,"",25999.00,25999.00,"X",455273
6,"B0000304653664",29,"5/901165-5",1,3499.76484000000,3304.9586,21.00,"",3999.00,3999.00,"X",455273
6,"B0000304653664",30,"5/901165-5",1,2624.60484000000,2478.5123,21.00,"",2999.00,2999.00,"X",455273
6,"B0000304653664",31,"5/406529-0",1,10501.04484000000,9916.5289,21.00,"",11999.00,11999.00,"X",455273
6,"B0000304653664",32,"5/407416-0",1,3499.76484000000,3304.9586,21.00,"",3999.00,3999.00,"X",455273
6,"B0000304653664",33,"1/101410-3",1,7206.47928000000,8263.6363,21.00,"",9999.00,9999.00,"X",455273
6,"B0000304653664",34,"1/101236-8",1,7206.47928000000,8263.6363,21.00,"",9999.00,9999.00,"X",455273
6,"B0000304653664",35,"1/101206-5",2,11530.07856000000,6610.7438,21.00,"",7999.00,15998.00,"X",455273
6,"B0000304653664",36,"4/900062-0",1,0.01029600000,0.0082,21.00,"",0.01,0.01,"X",455273
7,"B0000304653665",1,"1/42217-6",2,7205.75856000000,4131.4049,21.00,"",4999.00,9998.00,"X",460013
7,"B0000304653665",2,"1/42205-7",2,7205.75856000000,4131.4049,21.00,"",4999.00,9998.00,"X",460013
7,"B0000304653665",3,"1/100640-4",1,6485.75928000000,7437.1900,21.00,"",8999.00,8999.00,"X",460013
7,"B0000304653665",4,"1/41183-9",2,10088.63856000000,5784.2975,21.00,"",6999.00,13998.00,"X",460013
7,"B0000304653665",5,"1/101160-9",1,5044.31928000000,5784.2975,21.00,"",6999.00,6999.00,"X",460013
7,"B0000304653665",6,"1/101540-5",1,3602.87928000000,4131.4049,21.00,"",4999.00,4999.00,"X",460013
7,"B0000304653665",7,"1/100671-0",1,7206.47928000000,8263.6363,21.00,"",9999.00,9999.00,"X",460013
7,"B0000304653665",8,"1/101604-5",1,5044.31928000000,5784.2975,21.00,"",6999.00,6999.00,"X",460013
8,"B0000304653666",1,"2/101470-0",1,6341.51232000000,6362.8099,21.00,"",7699.00,7699.00,"X",483627
8,"B0000304653666",2,"1/101065-1",1,2140.74432000000,2147.9338,21.00,"",2599.00,2599.00,"X",483627
8,"B0000304653666",3,"1/100786-5",1,8235.97632000000,8263.6363,21.00,"",9999.00,9999.00,"X",483627
8,"B0000304653666",4,"1/101317-0",1,8235.97632000000,8263.6363,21.00,"",9999.00,9999.00,"X",483627
8,"B0000304653666",5,"2/101431-4",1,1522.98432000000,1528.0991,21.00,"",1849.00,1849.00,"X",483627
8,"B0000304653666",6,"2/101419-3",1,6341.51232000000,6362.8099,21.00,"",7699.00,7699.00,"X",483627
8,"B0000304653666",7,"5/101405-0",1,2408.33736000000,2147.9338,21.00,"",2599.00,2599.00,"X",483627
8,"B0000304653666",8,"1/101238-2",1,6588.61632000000,6610.7438,21.00,"",7999.00,7999.00,"X",483627
8,"B0000304653666",9,"2/101434-1",1,1522.98432000000,1528.0991,21.00,"",1849.00,1849.00,"X",483627
8,"B0000304653666",10,"2/101235-6",2,9882.51264000000,4957.8512,21.00,"",5999.00,11998.00,"X",483627
9,"B0000304653667",1,"5/101405-0",2,5249.20968000000,2478.5123,21.00,"",2999.00,5998.00,"X",496879
9,"B0000304653667",2,"1/42205-7",1,3602.87928000000,4131.4049,21.00,"",4999.00,4999.00,"X",496879
9,"B0000304653667",3,"1/101063-7",1,1873.15128000000,2147.9338,21.00,"",2599.00,2599.00,"X",496879
9,"B0000304653667",4,"1/100786-5",1,7206.47928000000,8263.6363,21.00,"",9999.00,9999.00,"X",496879
9,"B0000304653667",5,"1/100867-7",1,3602.87928000000,4131.4049,21.00,"",4999.00,4999.00,"X",496879
9,"B0000304653667",6,"1/101073-1",1,1873.15128000000,2147.9338,21.00,"",2599.00,2599.00,"X",496879
9,"B0000304653667",7,"1/101127-7",1,3602.87928000000,4131.4049,21.00,"",4999.00,4999.00,"X",496879
9,"B0000304653667",8,"1/100293-8",1,3602.87928000000,4131.4049,21.00,"",4999.00,4999.00,"X",496879
9,"B0000304653667",9,"1/100863-7",1,3602.87928000000,4131.4049,21.00,"",4999.00,4999.00,"X",496879
9,"B0000304653667",10,"1/101461-8",1,5765.03928000000,6610.7438,21.00,"",7999.00,7999.00,"X",496879
9,"B0000304653667",11,"1/100193-9",1,8647.91928000000,9916.5289,21.00,"",11999.00,11999.00,"X",496879
9,"B0000304653667",12,"1/21311-7",2,10088.63856000000,5784.2975,21.00,"",6999.00,13998.00,"X",496879
9,"B0000304653667",13,"1/101604-5",1,5044.31928000000,5784.2975,21.00,"",6999.00,6999.00,"X",496879
9,"B0000304653667",14,"1/100256-7",1,11530.79928000000,13222.3140,21.00,"",15999.00,15999.00,"X",496879
9,"B0000304653667",15,"1/101602-1",1,2593.87128000000,2974.3801,21.00,"",3599.00,3599.00,"X",496879
9,"B0000304653667",16,"1/101600-7",1,2593.87128000000,2974.3801,21.00,"",3599.00,3599.00,"X",496879
9,"B0000304653667",17,"2/101431-4",1,1332.61128000000,1528.0991,21.00,"",1849.00,1849.00,"X",496879
9,"B0000304653667",18,"1/101284-5",1,8647.91928000000,9916.5289,21.00,"",11999.00,11999.00,"X",496879
9,"B0000304653667",19,"1/101675-8",2,5764.31856000000,3304.9586,21.00,"",3999.00,7998.00,"X",496879
9,"B0000304653667",20,"1/101272-7",1,7206.47928000000,8263.6363,21.00,"",9999.00,9999.00,"X",496879
9,"B0000304653667",21,"2/101570-9",1,1332.61128000000,1528.0991,21.00,"",1849.00,1849.00,"X",496879
9,"B0000304653667",22,"1/101641-6",1,5765.03928000000,6610.7438,21.00,"",7999.00,7999.00,"X",496879
9,"B0000304653667",23,"5/101405-0",3,6561.07452000000,2065.2892,21.00,"",2499.00,7497.00,"X",496879
9,"B0000304653667",24,"5/101405-0",2,4549.08168000000,2147.9338,21.00,"",2599.00,5198.00,"X",496879
9,"B0000304653667",25,"4/900062-0",1,0.01029600000,0.0082,21.00,"",0.01,0.01,"X",496879
10,"B0000304653668",1,"2/101025-4",1,8235.97632000000,8263.6363,21.00,"",9999.00,9999.00,"X",516469
10,"B0000304653668",2,"1/101224-9",1,9883.33632000000,9916.5289,21.00,"",11999.00,11999.00,"X",516469
10,"B0000304653668",3,"2/101340-8",1,8235.97632000000,8263.6363,21.00,"",9999.00,9999.00,"X",516469
10,"B0000304653668",4,"5/101405-0",2,4631.34672000000,2065.2892,21.00,"",2499.00,4998.00,"X",516469
10,"B0000304653668",5,"5/101405-0",1,5558.91336000000,4957.8512,21.00,"",5999.00,5999.00,"X",516469
10,"B0000304653668",6,"5/101405-0",1,2778.99336000000,2478.5123,21.00,"",2999.00,2999.00,"X",516469
10,"B0000304653668",7,"5/101405-0",1,3705.63336000000,3304.9586,21.00,"",3999.00,3999.00,"X",516469
10,"B0000304653668",8,"5/101405-0",1,6114.89736000000,5453.7190,21.00,"",6599.00,6599.00,"X",516469
10,"B0000304653668",9,"4/900061-8",1,0.01029600000,0.0082,21.00,"",0.01,0.01,"X",516469
11,"B0000304653669",1,"1/101450-1",1,5044.31928000000,5784.2975,21.00,"",6999.00,6999.00,"X",523905
11,"B0000304653669",2,"1/101285-8",1,5044.31928000000,5784.2975,21.00,"",6999.00,6999.00,"X",523905
11,"B0000304653669",3,"1/101123-8",1,6485.75928000000,7437.1900,21.00,"",8999.00,8999.00,"X",523905
11,"B0000304653669",4,"1/41183-9",1,5044.31928000000,5784.2975,21.00,"",6999.00,6999.00,"X",523905
11,"B0000304653669",5,"2/101340-8",1,7206.47928000000,8263.6363,21.00,"",9999.00,9999.00,"X",523905
11,"B0000304653669",6,"2/101339-3",1,7206.47928000000,8263.6363,21.00,"",9999.00,9999.00,"X",523905
11,"B0000304653669",7,"1/43155-0",1,12972.23928000000,14875.2066,21.00,"",17999.00,17999.00,"X",523905
11,"B0000304653669",8,"1/101665-4",1,4683.95928000000,5371.0743,21.00,"",6499.00,6499.00,"X",523905
11,"B0000304653669",9,"5/101405-0",3,6561.07452000000,2065.2892,21.00,"",2499.00,7497.00,"X",523905
11,"B0000304653669",10,"4/900460-1",1,0.01029600000,0.0082,21.00,"",0.01,0.01,"X",523905
12,"B0000304653670",1,"1/100754-6",1,6588.61632000000,6610.7438,21.00,"",7999.00,7999.00,"X",524277
12,"B0000304653670",2,"7/101525-8",1,4735.13040000000,3800.8264,21.00,"",4599.00,4599.00,"X",524277
12,"B0000304653670",3,"7/101659-8",1,10294.97040000000,8263.6363,21.00,"",9999.00,9999.00,"X",524277
13,"B0000304653671",1,"5/101405-0",1,2624.60484000000,2478.5123,21.00,"",2999.00,2999.00,"X",533703
13,"B0000304653671",2,"1/41183-9",1,5044.31928000000,5784.2975,21.00,"",6999.00,6999.00,"X",533703
13,"B0000304653671",3,"1/101160-9",1,5044.31928000000,5784.2975,21.00,"",6999.00,6999.00,"X",533703
13,"B0000304653671",4,"1/101540-5",2,7205.75856000000,4131.4049,21.00,"",4999.00,9998.00,"X",533703
13,"B0000304653671",5,"1/100256-7",2,23061.59856000000,13222.3140,21.00,"",15999.00,31998.00,"X",533703
13,"B0000304653671",6,"1/101495-0",1,2882.15928000000,3304.9586,21.00,"",3999.00,3999.00,"X",533703
13,"B0000304653671",7,"1/101284-5",1,8647.91928000000,9916.5289,21.00,"",11999.00,11999.00,"X",533703
13,"B0000304653671",8,"1/101272-7",1,7206.47928000000,8263.6363,21.00,"",9999.00,9999.00,"X",533703
13,"B0000304653671",9,"5/101405-0",2,3498.88968000000,1652.0661,21.00,"",1999.00,3998.00,"X",533703
14,"B0000304653672",1,"1/101511-4",1,5044.31928000000,5784.2975,21.00,"",6999.00,6999.00,"X",533705
14,"B0000304653672",2,"2/101511-4",1,3602.87928000000,4131.4049,21.00,"",4999.00,4999.00,"X",533705
14,"B0000304653672",3,"5/400277-1",1,2624.60484000000,2478.5123,21.00,"",2999.00,2999.00,"X",533705
14,"B0000304653672",4,"2/100724-3",1,4323.59928000000,4957.8512,21.00,"",5999.00,5999.00,"X",533705
14,"B0000304653672",5,"1/42205-7",2,7205.75856000000,4131.4049,21.00,"",4999.00,9998.00,"X",533705
14,"B0000304653672",6,"1/100657-4",1,4323.59928000000,4957.8512,21.00,"",5999.00,5999.00,"X",533705
14,"B0000304653672",7,"1/101517-8",1,5765.03928000000,6610.7438,21.00,"",7999.00,7999.00,"X",533705
14,"B0000304653672",8,"1/101638-7",1,3963.23928000000,4544.6280,21.00,"",5499.00,5499.00,"X",533705
14,"B0000304653672",9,"4/88739-2",1,0.01029600000,0.0082,21.00,"",0.01,0.01,"X",533705
14,"B0000304653672",10,"4/900460-1",1,0.01029600000,0.0082,21.00,"",0.01,0.01,"X",533705
15,"B0000304653673",1,"1/101514-1",1,3602.87928000000,4131.4049,21.00,"",4999.00,4999.00,"X",533717
15,"B0000304653673",2,"1/101061-2",1,1873.15128000000,2147.9338,21.00,"",2599.00,2599.00,"X",533717
15,"B0000304653673",3,"1/101285-8",1,5044.31928000000,5784.2975,21.00,"",6999.00,6999.00,"X",533717
15,"B0000304653673",4,"1/101076-8",1,1873.15128000000,2147.9338,21.00,"",2599.00,2599.00,"X",533717
15,"B0000304653673",5,"1/100062-5",1,7206.47928000000,8263.6363,21.00,"",9999.00,9999.00,"X",533717
15,"B0000304653673",6,"1/101063-7",1,1873.15128000000,2147.9338,21.00,"",2599.00,2599.00,"X",533717
15,"B0000304653673",7,"1/101062-5",1,1873.15128000000,2147.9338,21.00,"",2599.00,2599.00,"X",533717
15,"B0000304653673",8,"1/100657-4",1,4323.59928000000,4957.8512,21.00,"",5999.00,5999.00,"X",533717
15,"B0000304653673",9,"1/41183-9",1,5044.31928000000,5784.2975,21.00,"",6999.00,6999.00,"X",533717
15,"B0000304653673",10,"1/43243-0",1,12972.23928000000,14875.2066,21.00,"",17999.00,17999.00,"X",533717
15,"B0000304653673",11,"1/100775-7",1,3602.87928000000,4131.4049,21.00,"",4999.00,4999.00,"X",533717
15,"B0000304653673",12,"1/101517-8",1,5765.03928000000,6610.7438,21.00,"",7999.00,7999.00,"X",533717
15,"B0000304653673",13,"1/101029-2",1,9368.63928000000,10742.9752,21.00,"",12999.00,12999.00,"X",533717
15,"B0000304653673",14,"2/101275-3",1,5548.82328000000,6362.8099,21.00,"",7699.00,7699.00,"X",533717
15,"B0000304653673",15,"1/101325-0",1,8647.91928000000,9916.5289,21.00,"",11999.00,11999.00,"X",533717
16,"B0000304653674",1,"5/101405-0",1,2624.60484000000,2478.5123,21.00,"",2999.00,2999.00,"X",548273
16,"B0000304653674",2,"1/101061-2",1,1873.15128000000,2147.9338,21.00,"",2599.00,2599.00,"X",548273
16,"B0000304653674",3,"2/101025-4",2,14412.95856000000,8263.6363,21.00,"",9999.00,19998.00,"X",548273
16,"B0000304653674",4,"2/101031-9",1,7206.47928000000,8263.6363,21.00,"",9999.00,9999.00,"X",548273
16,"B0000304653674",5,"2/101340-8",1,7206.47928000000,8263.6363,21.00,"",9999.00,9999.00,"X",548273
16,"B0000304653674",6,"1/21311-7",1,5044.31928000000,5784.2975,21.00,"",6999.00,6999.00,"X",548273
16,"B0000304653674",7,"1/101541-8",1,3602.87928000000,4131.4049,21.00,"",4999.00,4999.00,"X",548273
16,"B0000304653674",8,"1/24195-3",1,3963.23928000000,4544.6280,21.00,"",5499.00,5499.00,"X",548273
16,"B0000304653674",9,"6/101122-6",1,5455.85040000000,4379.3388,21.00,"",5299.00,5299.00,"X",548273
16,"B0000304653674",10,"1/101495-0",2,5764.31856000000,3304.9586,21.00,"",3999.00,7998.00,"X",548273
16,"B0000304653674",11,"1/101601-9",1,2593.87128000000,2974.3801,21.00,"",3599.00,3599.00,"X",548273
16,"B0000304653674",12,"1/101639-0",1,3963.23928000000,4544.6280,21.00,"",5499.00,5499.00,"X",548273
16,"B0000304653674",13,"1/101642-9",1,5765.03928000000,6610.7438,21.00,"",7999.00,7999.00,"X",548273
16,"B0000304653674",14,"1/101635-1",1,5044.31928000000,5784.2975,21.00,"",6999.00,6999.00,"X",548273
16,"B0000304653674",15,"3/101405-0",2,5249.20968000000,2478.5123,21.00,"",2999.00,5998.00,"X",548273
16,"B0000304653674",16,"7/101657-4",1,9265.47336000000,8263.6363,21.00,"",9999.00,9999.00,"X",548273
16,"B0000304653674",17,"5/101405-0",2,4549.08168000000,2147.9338,21.00,"",2599.00,5198.00,"X",548273
16,"B0000304653674",18,"4/900460-1",1,0.01029600000,0.0082,21.00,"",0.01,0.01,"X",548273
17,"B0000304653675",1,"1/101076-8",1,1873.15128000000,2147.9338,21.00,"",2599.00,2599.00,"X",559516
17,"B0000304653675",2,"1/42205-7",1,3602.87928000000,4131.4049,21.00,"",4999.00,4999.00,"X",559516
17,"B0000304653675",3,"1/100867-7",1,3602.87928000000,4131.4049,21.00,"",4999.00,4999.00,"X",559516
17,"B0000304653675",4,"1/101127-7",1,3602.87928000000,4131.4049,21.00,"",4999.00,4999.00,"X",559516
17,"B0000304653675",5,"1/100776-1",1,3602.87928000000,4131.4049,21.00,"",4999.00,4999.00,"X",559516
17,"B0000304653675",6,"1/41183-9",2,10088.63856000000,5784.2975,21.00,"",6999.00,13998.00,"X",559516
17,"B0000304653675",7,"1/101068-8",1,1873.15128000000,2147.9338,21.00,"",2599.00,2599.00,"X",559516
17,"B0000304653675",8,"1/101160-9",1,5044.31928000000,5784.2975,21.00,"",6999.00,6999.00,"X",559516
17,"B0000304653675",9,"1/101604-5",2,10088.63856000000,5784.2975,21.00,"",6999.00,13998.00,"X",559516
17,"B0000304653675",10,"1/53247-1",1,5044.31928000000,5784.2975,21.00,"",6999.00,6999.00,"X",559516
17,"B0000304653675",11,"4/900460-1",1,0.01029600000,0.0082,21.00,"",0.01,0.01,"X",559516
18,"B0000304653676",1,"1/42217-6",1,4117.57632000000,4131.4049,21.00,"",4999.00,4999.00,"X",572058
