orden,n_comp,fecha_emision,cod_cliente,figura,importe,bonif_sin_imp,imp_gravado,imp_exento,imp_iva,montib,gastadmi,boniflibro,bonifcosme,bonifpract,porclider,boniflider,bonifivadic,zona
1,"B0000304652645","2025-06-17",3079716,2,60079.06,22437.15,49652.12,0.00,10426.95,0.00000000000,"1727.21",0.00,"20637.60","1799.55","","0.00","0.00",012
2,"B0000304652646","2025-06-17",3681181,10,376890.54,126779.85,281882.16,0.00,95008.38,0.00000000000,"10835.24",0.00,"105709.20","21070.65","","0.00","35813.13",012
3,"B0000304652647","2025-06-17",4330994,2,84314.88,35096.10,69681.72,0.00,14633.16,0.00000000000,"2423.97",0.00,"35096.10","0.00","","0.00","0.00",012
4,"B0000304652648","2025-06-17",4407954,2,49747.04,17172.15,41113.26,0.00,8633.78,0.00000000000,"1430.18",0.00,"14697.60","2474.55","","0.00","0.00",012
5,"B0000304652649","2025-06-17",5234107,2,23781.21,4899.50,19653.89,0.00,4127.32,0.00000000000,"683.69",0.00,"4199.60","699.90","","0.00","0.00",012
6,"B0000304652650","2025-06-17",5984335,2,27422.99,2959.40,22663.63,0.00,4759.36,0.00000000000,"788.38",0.00,"0.00","2959.40","","0.00","0.00",012
7,"B0000304652651","2025-06-17",6233740,2,152089.23,63307.20,125693.58,0.00,26395.65,0.00000000000,"4372.42",0.00,"63307.20","0.00","","0.00","0.00",012
8,"B0000304652652","2025-06-17",6237932,2,33042.24,6298.70,27307.64,0.00,5734.60,0.00000000000,"949.93",0.00,"4919.20","1379.50","","0.00","0.00",012
9,"B0000304652653","2025-06-17",6377351,2,26356.11,6399.60,21781.91,0.00,4574.20,0.00000000000,"757.71",0.00,"6399.60","0.00","","0.00","0.00",012
10,"B0000304652654","2025-06-17",6541895,2,50290.05,19647.75,41562.02,0.00,8728.03,0.00000000000,"1445.79",0.00,"18747.90","899.85","","0.00","0.00",012
