orden,n_comp,fecha_emision,cod_cliente,figura,importe,bonif_sin_imp,imp_gravado,imp_exento,imp_iva,montib,gastadmi,boniflibro,bonifcosme,bonifpract,porclider,boniflider,bonifivadic,zona
1,"B0000700046018","2025-06-17",6005941949,2,0.00,0.00,0.00,0.00,6252.81,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
2,"B0000700046019","2025-06-17",6013736627,2,0.00,0.00,0.00,0.00,9835.26,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
3,"B0000700046020","2025-06-17",6020515945,2,0.00,0.00,0.00,0.00,4659.02,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
4,"B0000700046021","2025-06-17",6026350684,2,0.00,0.00,0.00,0.00,24868.49,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
5,"B0000700046022","2025-06-17",6026437838,2,0.00,0.00,0.00,0.00,8036.67,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
6,"B0000700046023","2025-06-17",6028200243,2,0.00,0.00,0.00,0.00,3579.33,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
7,"B0000700046024","2025-06-17",6029903566,2,0.00,0.00,0.00,0.00,8950.16,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
8,"B0000700046025","2025-06-17",6033504703,2,0.00,0.00,0.00,0.00,5873.90,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
9,"B0000700046026","2025-06-17",6034139052,2,0.00,0.00,0.00,0.00,26751.54,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
10,"B0000700046027","2025-06-17",6034574034,2,0.00,0.00,0.00,0.00,10302.16,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
11,"B0000700046028","2025-06-17",6037215531,2,0.00,0.00,0.00,0.00,4496.17,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
12,"B0000700046029","2025-06-17",6037332437,2,0.00,0.00,0.00,0.00,15458.69,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
13,"B0000700046030","2025-06-17",6037778095,2,0.00,0.00,0.00,0.00,3023.61,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
14,"B0000700046031","2025-06-17",6039338341,2,0.00,0.00,0.00,0.00,5312.86,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
15,"B0000700046032","2025-06-17",6040079324,2,0.00,0.00,0.00,0.00,2082.64,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
16,"B0000700046033","2025-06-17",6040119172,2,0.00,0.00,0.00,0.00,3915.76,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
17,"B0000700046034","2025-06-17",6040136671,2,0.00,0.00,0.00,0.00,7566.06,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
18,"B0000700046035","2025-06-17",6040811375,2,0.00,0.00,0.00,0.00,5233.78,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
19,"B0000700046036","2025-06-17",6041764703,2,0.00,0.00,0.00,0.00,5308.40,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
20,"B0000700046037","2025-06-17",6042193850,2,0.00,0.00,0.00,0.00,3270.59,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
21,"B0000700046038","2025-06-17",6042572895,2,0.00,0.00,0.00,0.00,5893.28,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
22,"B0000700046039","2025-06-17",6043379594,2,0.00,0.00,0.00,0.00,11240.20,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
23,"B0000700046040","2025-06-17",6044545379,2,0.00,0.00,0.00,0.00,4363.98,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
24,"B0000700046041","2025-06-17",6044694331,2,0.00,0.00,0.00,0.00,4532.93,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
25,"B0000700046042","2025-06-17",6046017094,2,0.00,0.00,0.00,0.00,2429.76,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
26,"B0000700046043","2025-06-17",6046834588,2,0.00,0.00,0.00,0.00,4278.10,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
27,"B0000700046044","2025-06-17",6096094220,2,0.00,0.00,0.00,0.00,4651.24,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
