orden,n_comp,renglon,cod_art,cantidad,importe_neto,precio_neto,porc_iva,adicional,precio_lista,total_renglon,cuales,revend
1,"B0000700046018",1,"1/101382-0",1,3150.00000000000,2603.3100,21.00,"0.00",3150.00,3150.00," ",600594194
1,"B0000700046018",2,"5/406916-4",1,5048.99000000000,4172.7200,21.00,"0.00",5048.99,5048.99," ",600594194
1,"B0000700046018",3,"5/407191-8",3,5048.99000000000,4172.7200,21.00,"0.00",5048.99,15146.97," ",600594194
1,"B0000700046018",4,"5/407192-0",1,5048.99000000000,4172.7200,21.00,"0.00",5048.99,5048.99," ",600594194
1,"B0000700046018",5,"4/800056-0",1,0.01000000000,0.0100,21.00,"0.00",0.01,0.01," ",600594194
1,"B0000700046018",6,"0/9-0",1,7633.20000000000,6308.4300,21.00,"0.00",7633.20,7633.20," ",600594194
2,"B0000700046019",1,"1/100642-9",1,5399.99000000000,4462.8000,21.00,"0.00",5399.99,5399.99," ",601373662
2,"B0000700046019",2,"1/100823-0",1,6799.99000000000,5619.8300,21.00,"0.00",6799.99,6799.99," ",601373662
2,"B0000700046019",3,"1/101097-9",1,8639.99000000000,7140.4900,21.00,"0.00",8639.99,8639.99," ",601373662
2,"B0000700046019",4,"1/101188-5",1,6799.99000000000,5619.8300,21.00,"0.00",6799.99,6799.99," ",601373662
2,"B0000700046019",5,"1/101401-1",1,14279.99000000000,11801.6400,21.00,"0.00",14279.99,14279.99," ",601373662
2,"B0000700046019",6,"1/21361-9",1,5399.99000000000,4462.8000,21.00,"0.00",5399.99,5399.99," ",601373662
2,"B0000700046019",7,"5/403048-2",1,9349.99000000000,7727.2600,21.00,"0.00",9349.99,9349.99," ",601373662
2,"B0000700046019",8,"4/800056-0",1,0.01000000000,0.0100,21.00,"0.00",0.01,0.01," ",601373662
2,"B0000700046019",9,"0/9-0",1,-0.01000000000,-0.0100,21.00,"0.00",-0.01,-0.01," ",601373662
3,"B0000700046020",1,"1/43112-6",1,16999.99000000000,14049.5800,21.00,"0.00",16999.99,16999.99," ",602051594
3,"B0000700046020",2,"4/800056-0",1,0.01000000000,0.0100,21.00,"0.00",0.01,0.01," ",602051594
3,"B0000700046020",3,"0/9-0",1,9844.85000000000,8136.2400,21.00,"0.00",9844.85,9844.85," ",602051594
4,"B0000700046021",1,"1/101100-3",1,8639.99000000000,7140.4900,21.00,"0.00",8639.99,8639.99," ",602635068
4,"B0000700046021",2,"1/101183-4",1,7224.99000000000,5971.0700,21.00,"0.00",7224.99,7224.99," ",602635068
4,"B0000700046021",3,"1/101328-7",1,12749.99000000000,10537.1800,21.00,"0.00",12749.99,12749.99," ",602635068
4,"B0000700046021",4,"1/101405-0",1,6999.99000000000,5785.1200,21.00,"0.00",6999.99,6999.99," ",602635068
4,"B0000700046021",5,"1/101427-3",1,7989.99000000000,6603.3000,21.00,"0.00",7989.99,7989.99," ",602635068
4,"B0000700046021",6,"1/101595-8",1,6999.99000000000,5785.1200,21.00,"0.00",6999.99,6999.99," ",602635068
4,"B0000700046021",7,"1/101639-0",1,5609.99000000000,4636.3600,21.00,"0.00",5609.99,5609.99," ",602635068
4,"B0000700046021",8,"1/101670-7",1,7224.99000000000,5971.0700,21.00,"0.00",7224.99,7224.99," ",602635068
4,"B0000700046021",9,"1/24678-6",1,4199.99000000000,3471.0700,21.00,"0.00",4199.99,4199.99," ",602635068
4,"B0000700046021",10,"5/403480-8",1,7649.99000000000,6322.3100,21.00,"0.00",7649.99,7649.99," ",602635068
4,"B0000700046021",11,"5/403713-0",4,7199.99000000000,5950.4000,21.00,"0.00",7199.99,28799.96," ",602635068
4,"B0000700046021",12,"5/404809-8",1,8399.99000000000,6942.1400,21.00,"0.00",8399.99,8399.99," ",602635068
4,"B0000700046021",13,"5/405239-8",1,19599.99000000000,16198.3400,21.00,"0.00",19599.99,19599.99," ",602635068
4,"B0000700046021",14,"5/405248-0",1,11199.99000000000,9256.1900,21.00,"0.00",11199.99,11199.99," ",602635068
4,"B0000700046021",15,"4/800056-0",1,0.01000000000,0.0100,21.00,"0.00",0.01,0.01," ",602635068
4,"B0000700046021",16,"0/9-0",1,-0.01000000000,-0.0100,21.00,"0.00",-0.01,-0.01," ",602635068
5,"B0000700046022",1,"1/100855-7",2,19549.99000000000,16157.0200,21.00,"0.00",19549.99,39099.98," ",602643783
5,"B0000700046022",2,"4/800056-0",1,0.01000000000,0.0100,21.00,"0.00",0.01,0.01," ",602643783
5,"B0000700046022",3,"0/9-0",1,7206.51000000000,5955.7900,21.00,"0.00",7206.51,7206.51," ",602643783
6,"B0000700046023",1,"1/101513-9",1,6159.99000000000,5090.9000,21.00,"0.00",6159.99,6159.99," ",602820024
6,"B0000700046023",2,"1/101533-8",1,7139.99000000000,5900.8200,21.00,"0.00",7139.99,7139.99," ",602820024
6,"B0000700046023",3,"4/800056-0",1,0.01000000000,0.0100,21.00,"0.00",0.01,0.01," ",602820024
6,"B0000700046023",4,"0/9-0",1,7323.78000000000,6052.7100,21.00,"0.00",7323.78,7323.78," ",602820024
7,"B0000700046024",1,"1/100062-5",1,10079.99000000000,8330.5700,21.00,"0.00",10079.99,10079.99," ",602990356
7,"B0000700046024",2,"1/100634-9",1,6299.99000000000,5206.6000,21.00,"0.00",6299.99,6299.99," ",602990356
7,"B0000700046024",3,"1/100861-3",1,8999.99000000000,7438.0100,21.00,"0.00",8999.99,8999.99," ",602990356
7,"B0000700046024",4,"1/101488-2",1,6502.50000000000,5373.9700,21.00,"0.00",6502.50,6502.50," ",602990356
7,"B0000700046024",5,"1/101489-4",1,6502.49000000000,5373.9600,21.00,"0.00",6502.49,6502.49," ",602990356
7,"B0000700046024",6,"1/101595-8",1,6299.99000000000,5206.6000,21.00,"0.00",6299.99,6299.99," ",602990356
7,"B0000700046024",7,"5/403479-4",1,6884.99000000000,5690.0700,21.00,"0.00",6884.99,6884.99," ",602990356
7,"B0000700046024",8,"4/800056-0",1,0.01000000000,0.0100,21.00,"0.00",0.01,0.01," ",602990356
7,"B0000700046024",9,"0/9-0",1,-0.01000000000,-0.0100,21.00,"0.00",-0.01,-0.01," ",602990356
8,"B0000700046025",1,"1/41239-9",1,6999.99000000000,5785.1200,21.00,"0.00",6999.99,6999.99," ",603350470
8,"B0000700046025",2,"1/43235-0",1,16999.99000000000,14049.5800,21.00,"0.00",16999.99,16999.99," ",603350470
8,"B0000700046025",3,"4/800056-0",1,0.01000000000,0.0100,21.00,"0.00",0.01,0.01," ",603350470
8,"B0000700046025",4,"0/9-0",1,9844.85000000000,8136.2400,21.00,"0.00",9844.85,9844.85," ",603350470
9,"B0000700046026",1,"1/100656-2",1,6479.99000000000,5355.3600,21.00,"0.00",6479.99,6479.99," ",603413905
9,"B0000700046026",2,"1/101097-9",2,8639.99000000000,7140.4900,21.00,"0.00",8639.99,17279.98," ",603413905
9,"B0000700046026",3,"1/101100-3",2,8639.99000000000,7140.4900,21.00,"0.00",8639.99,17279.98," ",603413905
9,"B0000700046026",4,"1/101338-1",1,8499.99000000000,7024.7900,21.00,"0.00",8499.99,8499.99," ",603413905
9,"B0000700046026",5,"1/101380-5",1,21249.99000000000,17561.9800,21.00,"0.00",21249.99,21249.99," ",603413905
9,"B0000700046026",6,"1/101467-1",1,11059.99000000000,9140.4900,21.00,"0.00",11059.99,11059.99," ",603413905
9,"B0000700046026",7,"1/101541-8",1,6399.99000000000,5289.2500,21.00,"0.00",6399.99,6399.99," ",603413905
9,"B0000700046026",8,"1/101605-8",1,7999.99000000000,6611.5600,21.00,"0.00",7999.99,7999.99," ",603413905
9,"B0000700046026",9,"1/101623-2",1,3569.99000000000,2950.4000,21.00,"0.00",3569.99,3569.99," ",603413905
9,"B0000700046026",10,"1/101628-3",1,3569.99000000000,2950.4000,21.00,"0.00",3569.99,3569.99," ",603413905
9,"B0000700046026",11,"1/24201-3",1,8999.99000000000,7438.0100,21.00,"0.00",8999.99,8999.99," ",603413905
9,"B0000700046026",12,"5/403051-1",1,9349.99000000000,7727.2600,21.00,"0.00",9349.99,9349.99," ",603413905
9,"B0000700046026",13,"5/405259-7",1,16999.99000000000,14049.5800,21.00,"0.00",16999.99,16999.99," ",603413905
9,"B0000700046026",14,"1/43250-8",1,15399.99000000000,12727.2600,21.00,"0.00",15399.99,15399.99," ",603413905
9,"B0000700046026",15,"4/800056-0",1,0.01000000000,0.0100,21.00,"0.00",0.01,0.01," ",603413905
9,"B0000700046026",16,"0/9-0",1,-0.01000000000,-0.0100,21.00,"0.00",-0.01,-0.01," ",603413905
10,"B0000700046027",1,"1/100724-3",1,7649.99000000000,6322.3100,21.00,"0.00",7649.99,7649.99," ",603457403
10,"B0000700046027",2,"1/100746-6",1,12749.99000000000,10537.1800,21.00,"0.00",12749.99,12749.99," ",603457403
10,"B0000700046027",3,"1/101164-8",1,12324.99000000000,10185.9400,21.00,"0.00",12324.99,12324.99," ",603457403
10,"B0000700046027",4,"1/101224-9",1,12324.99000000000,10185.9400,21.00,"0.00",12324.99,12324.99," ",603457403
10,"B0000700046027",5,"1/101405-0",1,6999.99000000000,5785.1200,21.00,"0.00",6999.99,6999.99," ",603457403
10,"B0000700046027",6,"1/24206-4",1,7309.99000000000,6041.3100,21.00,"0.00",7309.99,7309.99," ",603457403
10,"B0000700046027",7,"4/800056-0",1,0.01000000000,0.0100,21.00,"0.00",0.01,0.01," ",603457403
10,"B0000700046027",8,"0/9-0",1,-0.01000000000,-0.0100,21.00,"0.00",-0.01,-0.01," ",603457403
11,"B0000700046028",1,"1/100357-8",1,18699.99000000000,15454.5400,21.00,"0.00",18699.99,18699.99," ",603721553
11,"B0000700046028",2,"4/800056-0",1,0.01000000000,0.0100,21.00,"0.00",0.01,0.01," ",603721553
11,"B0000700046028",3,"0/9-0",1,7206.51000000000,5955.7900,21.00,"0.00",7206.51,7206.51," ",603721553
12,"B0000700046029",1,"1/100348-6",1,6119.99000000000,5057.8400,21.00,"0.00",6119.99,6119.99," ",603733243
12,"B0000700046029",2,"1/100629-5",1,7947.49000000000,6568.1700,21.00,"0.00",7947.49,7947.49," ",603733243
12,"B0000700046029",3,"1/100773-3",1,3399.99000000000,2809.9100,21.00,"0.00",3399.99,3399.99," ",603733243
12,"B0000700046029",4,"1/100774-5",1,3399.99000000000,2809.9100,21.00,"0.00",3399.99,3399.99," ",603733243
12,"B0000700046029",5,"1/101338-1",1,7224.99000000000,5971.0700,21.00,"0.00",7224.99,7224.99," ",603733243
12,"B0000700046029",6,"1/101625-6",1,5202.00000000000,4299.1700,21.00,"0.00",5202.00,5202.00," ",603733243
12,"B0000700046029",7,"1/101626-9",1,5201.99000000000,4299.1700,21.00,"0.00",5201.99,5201.99," ",603733243
12,"B0000700046029",8,"1/101627-1",1,5201.99000000000,4299.1700,21.00,"0.00",5201.99,5201.99," ",603733243
12,"B0000700046029",9,"1/101633-6",1,6141.24000000000,5075.4000,21.00,"0.00",6141.24,6141.24," ",603733243
12,"B0000700046029",10,"1/101634-9",1,6141.25000000000,5075.4100,21.00,"0.00",6141.25,6141.25," ",603733243
12,"B0000700046029",11,"1/101635-1",1,6141.24000000000,5075.4000,21.00,"0.00",6141.24,6141.24," ",603733243
12,"B0000700046029",12,"1/101640-4",1,6935.99000000000,5732.2200,21.00,"0.00",6935.99,6935.99," ",603733243
12,"B0000700046029",13,"1/101641-6",1,6935.99000000000,5732.2200,21.00,"0.00",6935.99,6935.99," ",603733243
12,"B0000700046029",14,"1/101642-9",1,6935.99000000000,5732.2200,21.00,"0.00",6935.99,6935.99," ",603733243
12,"B0000700046029",15,"1/101655-0",1,6141.24000000000,5075.4000,21.00,"0.00",6141.24,6141.24," ",603733243
12,"B0000700046029",16,"4/800056-0",1,0.01000000000,0.0100,21.00,"0.00",0.01,0.01," ",603733243
12,"B0000700046029",17,"0/9-0",1,-0.01000000000,-0.0100,21.00,"0.00",-0.01,-0.01," ",603733243
13,"B0000700046030",1,"5/406916-4",1,5048.99000000000,4172.7200,21.00,"0.00",5048.99,5048.99," ",603777809
13,"B0000700046030",2,"5/407192-0",1,5048.99000000000,4172.7200,21.00,"0.00",5048.99,5048.99," ",603777809
13,"B0000700046030",3,"4/800056-0",1,0.01000000000,0.0100,21.00,"0.00",0.01,0.01," ",603777809
13,"B0000700046030",4,"0/9-0",1,7323.78000000000,6052.7100,21.00,"0.00",7323.78,7323.78," ",603777809
14,"B0000700046031",1,"1/101238-2",1,8399.99000000000,6942.1400,21.00,"0.00",8399.99,8399.99," ",603933834
14,"B0000700046031",2,"1/101406-2",1,12249.99000000000,10123.9600,21.00,"0.00",12249.99,12249.99," ",603933834
14,"B0000700046031",3,"4/800056-0",1,0.01000000000,0.0100,21.00,"0.00",0.01,0.01," ",603933834
14,"B0000700046031",4,"0/9-0",1,9962.19000000000,8233.2100,21.00,"0.00",9962.19,9962.19," ",603933834
15,"B0000700046032",1,"5/403555-5",1,11999.99000000000,9917.3500,21.00,"0.00",11999.99,11999.99," ",604007932
15,"B0000700046032",2,"4/800056-0",1,0.01000000000,0.0100,21.00,"0.00",0.01,0.01," ",604007932
15,"B0000700046032",3,"0/9-0",1,-0.01000000000,-0.0100,21.00,"0.00",-0.01,-0.01," ",604007932
