orden,n_comp,renglon,cod_art,cantidad,importe_neto,precio_neto,porc_iva,adicional,precio_lista,total_renglon,cuales,revend
1,"B0000304655835",1,"1/101061-2",2,3746.30256000000,2147.9338,21.00,"",2599.00,5198.00,"X",515876
1,"B0000304655835",2,"1/100777-3",1,4683.95928000000,5371.0743,21.00,"",6499.00,6499.00,"X",515876
1,"B0000304655835",3,"1/101160-9",2,10088.63856000000,5784.2975,21.00,"",6999.00,13998.00,"X",515876
1,"B0000304655835",4,"1/101540-5",1,3602.87928000000,4131.4049,21.00,"",4999.00,4999.00,"X",515876
1,"B0000304655835",5,"1/101209-1",1,5044.31928000000,5784.2975,21.00,"",6999.00,6999.00,"X",515876
1,"B0000304655835",6,"1/101604-5",1,5044.31928000000,5784.2975,21.00,"",6999.00,6999.00,"X",515876
1,"B0000304655835",7,"1/101522-1",1,5044.31928000000,5784.2975,21.00,"",6999.00,6999.00,"X",515876
1,"B0000304655835",8,"1/100935-7",1,4683.95928000000,5371.0743,21.00,"",6499.00,6499.00,"X",515876
1,"B0000304655835",9,"5/101052-0",6,13122.14904000000,2065.2892,21.00,"",2499.00,14994.00,"X",515876
1,"B0000304655835",10,"5/101052-0",2,4549.08168000000,2147.9338,21.00,"",2599.00,5198.00,"X",515876
1,"B0000304655835",11,"5/101052-0",2,5249.20968000000,2478.5123,21.00,"",2999.00,5998.00,"X",515876
1,"B0000304655835",12,"3/101052-0",1,2624.60484000000,2478.5123,21.00,"",2999.00,2999.00,"X",515876
1,"B0000304655835",13,"5/300853-3",2,3498.88968000000,1652.0661,21.00,"",1999.00,3998.00,"X",515876
1,"B0000304655835",14,"5/101052-0",1,3499.76484000000,3304.9586,21.00,"",3999.00,3999.00,"X",515876
1,"B0000304655835",15,"5/201792-5",1,5250.08484000000,4957.8512,21.00,"",5999.00,5999.00,"X",515876
1,"B0000304655835",16,"3/205001-0",1,6125.24484000000,5784.2975,21.00,"",6999.00,6999.00,"X",515876
2,"B0000304655836",1,"1/101063-7",1,2140.74432000000,2147.9338,21.00,"",2599.00,2599.00,"X",546907
2,"B0000304655836",2,"1/101510-2",1,14825.41632000000,14875.2066,21.00,"",17999.00,17999.00,"X",546907
2,"B0000304655836",3,"2/101028-0",1,8235.97632000000,8263.6363,21.00,"",9999.00,9999.00,"X",546907
2,"B0000304655836",4,"2/101340-8",1,8235.97632000000,8263.6363,21.00,"",9999.00,9999.00,"X",546907
2,"B0000304655836",5,"4/101226-3",1,0.01029600000,0.0082,21.00,"",0.01,0.01,"X",546907
2,"B0000304655836",6,"5/101052-0",2,4816.67472000000,2147.9338,21.00,"",2599.00,5198.00,"X",546907
2,"B0000304655836",7,"5/407142-8",1,11118.75336000000,9916.5289,21.00,"",11999.00,11999.00,"X",546907
2,"B0000304655836",8,"4/900460-1",1,0.01029600000,0.0082,21.00,"",0.01,0.01,"X",546907
3,"B0000304655837",1,"1/101076-8",1,1873.15128000000,2147.9338,21.00,"",2599.00,2599.00,"X",603020
3,"B0000304655837",2,"1/101063-7",1,1873.15128000000,2147.9338,21.00,"",2599.00,2599.00,"X",603020
3,"B0000304655837",3,"1/100640-4",1,6485.75928000000,7437.1900,21.00,"",8999.00,8999.00,"X",603020
3,"B0000304655837",4,"1/101073-1",1,1873.15128000000,2147.9338,21.00,"",2599.00,2599.00,"X",603020
3,"B0000304655837",5,"1/100657-4",1,4323.59928000000,4957.8512,21.00,"",5999.00,5999.00,"X",603020
3,"B0000304655837",6,"1/101067-6",2,3746.30256000000,2147.9338,21.00,"",2599.00,5198.00,"X",603020
3,"B0000304655837",7,"1/100425-9",1,6125.39928000000,7023.9669,21.00,"",8499.00,8499.00,"X",603020
3,"B0000304655837",8,"1/101072-9",2,3746.30256000000,2147.9338,21.00,"",2599.00,5198.00,"X",603020
3,"B0000304655837",9,"1/101121-4",1,4323.59928000000,4957.8512,21.00,"",5999.00,5999.00,"X",603020
3,"B0000304655837",10,"1/101602-1",1,2593.87128000000,2974.3801,21.00,"",3599.00,3599.00,"X",603020
3,"B0000304655837",11,"5/101052-0",1,2187.02484000000,2065.2892,21.00,"",2499.00,2499.00,"X",603020
3,"B0000304655837",12,"7/101656-2",1,9265.47336000000,8263.6363,21.00,"",9999.00,9999.00,"X",603020
3,"B0000304655837",13,"7/101659-8",1,9265.47336000000,8263.6363,21.00,"",9999.00,9999.00,"X",603020
3,"B0000304655837",14,"7/101657-4",1,9265.47336000000,8263.6363,21.00,"",9999.00,9999.00,"X",603020
3,"B0000304655837",15,"4/900460-1",1,0.01029600000,0.0082,21.00,"",0.01,0.01,"X",603020
